,,Korea,Singapore,Czech Republic,Taiwan,standard deviation,coefficient of variation,average,,,Korea,Singapore,Czech Republic,Taiwan,standard deviation,coefficient of variation,average
,,HDP per capita,,,,,,,,,ln(HDP per capita),,,,,,
0,2005,"21,197.20","41,798.49","15,147.72",16600.12,12347.31,52%,"23,685.88",,2005,9.9616,10.6406,9.6256,9.7172,0.4587,4.59%,9.9863
1,2006,"22,196.21","44,159.41","16,107.30",17485.93,13044.6,52%,"24,987.21",,2006,10.0077,10.6956,9.687,9.7692,0.4578,4.56%,10.0399
2,2007,"23,365.14","46,178.81","16,892.54",18607.11,13557.97,52%,"26,260.90",,2007,10.059,10.7403,9.7346,9.8313,0.4535,4.49%,10.0913
3,2008,"23,887.06","44,601.58","17,190.65",18690.28,12668.67,49%,"26,092.39",,2008,10.0811,10.7055,9.7521,9.8358,0.4312,4.27%,10.0936
4,2009,"23,952.81","43,331.87","16,272.81",18324.38,12342.29,48%,"25,470.47",,2009,10.0838,10.6766,9.6973,9.816,0.4365,4.34%,10.0684
5,2010,"25,455.62","48,752.05","16,665.93",20147.16,14456.95,52%,"27,755.19",,2010,10.1447,10.7945,9.7211,9.9108,0.4677,4.61%,10.1428
6,2011,"26,191.64","50,713.53","16,926.28",20839.84,15179.88,53%,"28,667.83",,2011,10.1732,10.8339,9.7366,9.9446,0.4759,4.68%,10.1721
7,2012,"26,680.28","51,679.35","16,772.35",21232.32,15594.37,54%,"29,091.08",,2012,10.1917,10.8528,9.7275,9.9633,0.4846,4.76%,10.1838
8,2013,"27,399.62","53,298.97","16,759.78",21690.29,16266.3,55%,"29,787.16",,2013,10.2183,10.8837,9.7267,9.9846,0.496,4.86%,10.2033
9,2014,"28,100.01","54,681.93","17,118.04",22656.57,16643.76,54%,"30,639.14",,2014,10.2435,10.9093,9.7479,10.0282,0.4949,4.84%,10.2322
10,2015,"28,737.44","55,645.61","17,931.60",22930.45,16813.07,54%,"31,311.27",,2015,10.266,10.9268,9.7943,10.0402,0.4864,4.74%,10.2568
11,2016,"29,467.12","56,986.79","18,359.10",23374.06,17235.88,54%,"32,046.77",,2016,10.291,10.9506,9.8179,10.0594,0.4872,4.74%,10.2797
12,2017,"30,312.89","59,485.30","19,257.69",24189.24,18025.76,54%,"33,311.28",,2017,10.3193,10.9935,9.8657,10.0937,0.4869,4.72%,10.318
13,2018,"31,059.27","61,250.35","19,736.63",24866.13,18600.11,54%,"34,228.09",,2018,10.3437,11.0227,9.8902,10.1213,0.4886,4.72%,10.3445
14,2019,"31,645.95","61,345.53","20,360.06",25608.55,18326.6,53%,"34,740.02",,2019,10.3624,11.0243,9.9213,10.1507,0.4752,4.58%,10.3647
15,2020,"31,378.16","59,189.70","19,233.15",26499.99,17470.76,51%,"34,075.25",,2020,10.3539,10.9885,9.8644,10.1849,0.4728,4.57%,10.3479
16,2021,"32,771.07","67,731.26","20,373.88",28418.13,20912.13,56%,"37,323.59",,2021,10.3973,11.1233,9.922,10.2548,0.5067,4.86%,10.4243
17,2022,"33,690.38","68,218.81","20,627.35",29366.31,20881.38,55%,"37,975.71",,2022,10.425,11.1305,9.9344,10.2876,0.5019,4.81%,10.4444
18,2023,"34,121.02","66,167.36","20,251.75",29656.23,19935.33,53%,"37,549.09",,2023,10.4377,11.0999,9.916,10.2974,0.4934,4.73%,10.4378
19,2024,"34,871.68","67,706.83","20,444.54",31127.85,20384.2,53%,"38,537.73",,2024,10.4594,11.1229,9.9255,10.3459,0.496,4.74%,10.4634
x,ln(y0),9.9616,10.6406,9.6256,9.7172,,,,,,,,,,,,
y,g=(Yt/Yo)/t-1,0.0262,0.0254,0.0158,0.0331,,,,,,,,,,,,
