,GDP per capita (constant 2015 US$,population,ln(basic indices),S-S model GDP per capita
2005,15147.72,"14,913,564",ln(Lt/L0)=y,l = L0¡Pegt
2006,16107.3,"15,220,495",0.0614227,15416.69
2007,16892.54,"15,505,121",0.1090222,15690.43
2008,17190.65,"15,784,817",0.1265153,15969.03
2009,16272.81,"16,075,128",0.0716454,16252.58
2010,16665.93,"16,401,413",0.0955165,16541.17
2011,16926.28,"16,730,895",0.1110176,16834.87
2012,16772.35,"17,042,272",0.1018818,17133.8
2013,16759.78,"17,372,779",0.1011319,17438.03
2014,17118.04,"17,704,538",0.1222829,17747.66
2015,17931.6,"18,029,982",0.1687143,18062.79
2016,18359.1,"18,354,855",0.1922751,18383.52
2017,19257.69,"18,653,146",0.2400605,18709.94
2018,19736.63,"18,929,866",0.2646262,19042.16
2019,20360.06,"19,191,510",0.295725,19380.28
2020,19233.15,"19,411,454",0.2387851,19724.4
2021,20373.88,"19,617,046",0.2964035,20074.63
2022,20627.35,"19,839,704",0.3087677,20431.08
2023,20251.75,"20,055,492",0.290391,20793.86
2024,20444.54,"20,278,946",0.2998659,21163.08
