,GDP per capita (constant 2015 US$,population,ln(basic indices),S-S model GDP per capita
2005,41798.49,"14,913,564",ln(Lt/L0)=y,l = L0¡Pegt
2006,44159.41,"15,220,495",0.0549459,42963.73
2007,46178.81,"15,505,121",0.099661,44161.46
2008,44601.58,"15,784,817",0.0649091,45392.58
2009,43331.87,"16,075,128",0.0360283,46658.02
2010,48752.05,"16,401,413",0.1538871,47958.74
2011,50713.53,"16,730,895",0.1933326,49295.72
2012,51679.35,"17,042,272",0.2121982,50669.97
2013,53298.97,"17,372,779",0.2430569,52082.53
2014,54681.93,"17,704,538",0.2686732,53534.47
2015,55645.61,"18,029,982",0.286143,55026.89
2016,56986.79,"18,354,855",0.3099592,56560.92
2017,59485.3,"18,653,146",0.3528691,58137.7
2018,61250.35,"18,929,866",0.3821094,59758.45
2019,61345.53,"19,191,510",0.3836621,61424.38
2020,59189.7,"19,411,454",0.3478874,63136.75
2021,67731.26,"19,617,046",0.4826877,64896.85
2022,68218.81,"19,839,704",0.4898601,66706.03
2023,66167.36,"20,055,492",0.4593271,68565.64
2024,67706.83,"20,278,946",0.4823269,70477.09
