,GDP per capita (constant 2015 US$,population,ln(basic indices),S-S model GDP per capita
2005,16600.12,"14,913,564",ln(Lt/L0)=y,l = L0¡Pegt
2006,17485.93,"15,220,495",0.0519869,17150.51
2007,18607.11,"15,505,121",0.1141338,17719.15
2008,18690.28,"15,784,817",0.1185937,18306.64
2009,18324.38,"16,075,128",0.0988225,18913.62
2010,20147.16,"16,401,413",0.1936537,19540.72
2011,20839.84,"16,730,895",0.2274568,20188.61
2012,21232.32,"17,042,272",0.246115,20857.98
2013,21690.29,"17,372,779",0.2674548,21549.55
2014,22656.57,"17,704,538",0.3110401,22264.04
2015,22930.45,"18,029,982",0.323056,23002.23
2016,23374.06,"18,354,855",0.3422174,23764.89
2017,24189.24,"18,653,146",0.3764984,24552.84
2018,24866.13,"18,929,866",0.4040971,25366.91
2019,25608.55,"19,191,510",0.4335167,26207.97
2020,26499.99,"19,411,454",0.4677345,27076.92
2021,28418.13,"19,617,046",0.5376177,27974.68
2022,29366.31,"19,839,704",0.5704384,28902.21
2023,29656.23,"20,055,492",0.5802625,29860.49
2024,31127.85,"20,278,946",0.6286932,30850.55
